"","Occupation and industry","2013","2013","2013","2013","2013","2013","2013","2013"
"1","Occupation and industry","Unemployed","Unemployed","Unemployed","Unemployed","Unemployed","Unemployed","Weeks","Weeks"
"2","Occupation and industry","Total","Lessthan5 weeks","5 to 14weeks","15 weeks and over","15 weeks and over","15 weeks and over","Average(mean)duration","Medianduration"
"3","Occupation and industry","Total","Lessthan5 weeks","5 to 14weeks","Total","15 to 26weeks","27 weeksand over","Average(mean)duration","Medianduration"
"4","Total unemployed(1)","11,460","2,584","2,759","6,117","1,807","4,310","36.5","17.0"
"5","","","","","","","","",""
"6","No previous work experience","1,247","295","347","606","202","404","32.6","13.9"
"7","","","","","","","","",""
"8","OCCUPATION","","","","","","","",""
"9","Management, professional, and related occupations","2,036","447","473","1,116","315","801","37.5","18.0"
"10","Management, business, and financial operations occupations","831","149","186","496","141","355","41.2","21.0"
"11","Professional and related occupations","1,205","298","287","620","174","446","35.0","15.6"
"12","Service occupations","2,444","588","596","1,261","364","896","34.4","15.7"
"13","Sales and office occupations","2,575","546","583","1,446","404","1,042","39.6","19.2"
"14","Sales and related occupations","1,212","275","288","648","185","463","37.7","17.2"
"15","Office and administrative support occupations","1,363","270","295","798","218","579","41.4","20.9"
"16","Natural resources, construction, and maintenance occupations","1,423","353","355","715","228","487","34.7","14.7"
"17","Farming, fishing, and forestry occupations","124","33","38","53","22","30","26.7","11.8"
"18","Construction and extraction occupations","1,016","259","254","503","161","342","34.7","14.3"
"19","Installation, maintenance, and repair occupations","284","61","63","160","45","115","38.5","19.4"
"20","Production, transportation, and material moving occupations","1,690","351","396","944","288","656","37.9","18.3"
"21","Production occupations","792","153","176","462","136","327","40.5","19.9"
"22","Transportation and material moving occupations","898","197","219","482","153","329","35.6","16.9"
"23","","","","","","","","",""
"24","INDUSTRY(2)","","","","","","","",""
"25","Agriculture and related industries","148","37","46","65","30","35","25.2","12.4"
"26","Mining, quarrying, and oil and gas extraction","66","18","22","27","12","15","20.9","11.1"
"27","Construction","957","237","244","476","151","324","35.0","14.4"
"28","Manufacturing","1,031","190","230","611","172","439","42.4","20.6"
"29","Durable goods","619","112","140","367","95","273","43.5","21.5"
"30","Nondurable goods","412","78","90","244","77","166","40.8","19.7"
"31","Wholesale and retail trade","1,487","312","341","834","230","604","39.0","19.1"
"32","Transportation and utilities","452","94","109","249","68","180","37.6","18.3"
"33","Information","185","40","36","109","32","77","41.2","20.4"
"34","Financial activities","440","84","95","261","76","185","42.6","20.7"
"35","Professional and business services","1,321","271","311","739","221","518","36.9","18.5"
"36","Education and health services","1,447","342","334","772","211","561","35.5","17.2"
"37","Leisure and hospitality","1,421","368","370","682","211","472","32.1","13.6"
"38","Other services","449","108","104","236","75","161","35.9","16.3"
"39","Public administration","237","50","46","141","40","101","40.5","21.8"
"40","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately.","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately.","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately.","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately.","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately.","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately.","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately.","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately.","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately."
"41","NOTE: Updated population controls are introduced annually with the release of January data.","NOTE: Updated population controls are introduced annually with the release of January data.","NOTE: Updated population controls are introduced annually with the release of January data.","NOTE: Updated population controls are introduced annually with the release of January data.","NOTE: Updated population controls are introduced annually with the release of January data.","NOTE: Updated population controls are introduced annually with the release of January data.","NOTE: Updated population controls are introduced annually with the release of January data.","NOTE: Updated population controls are introduced annually with the release of January data.","NOTE: Updated population controls are introduced annually with the release of January data."
