"","Occupation and industry","2012","2012","2012","2012","2012","2012","2012","2012"
"1","Occupation and industry","Unemployed","Unemployed","Unemployed","Unemployed","Unemployed","Unemployed","Weeks","Weeks"
"2","Occupation and industry","Total","Lessthan5 weeks","5 to 14weeks","15 weeks and over","15 weeks and over","15 weeks and over","Average(mean)duration(1)","Medianduration"
"3","Occupation and industry","Total","Lessthan5 weeks","5 to 14weeks","Total","15 to 26weeks","27 weeksand over","Average(mean)duration(1)","Medianduration"
"4","Total unemployed(2)","12,506","2,644","2,866","6,996","1,859","5,136","39.4","19.3"
"5","","","","","","","","",""
"6","No previous work experience","1,316","302","341","673","209","464","35.6","15.5"
"7","","","","","","","","",""
"8","OCCUPATION","","","","","","","",""
"9","Management, professional, and related occupations","2,318","445","511","1,362","340","1,022","42.6","21.5"
"10","Management, business, and financial operations occupations","935","146","189","601","144","456","46.9","26.0"
"11","Professional and related occupations","1,383","299","322","762","196","566","39.7","18.7"
"12","Service occupations","2,540","584","600","1,356","386","971","35.9","17.2"
"13","Sales and office occupations","2,775","534","618","1,622","411","1,211","41.8","21.4"
"14","Sales and related occupations","1,318","276","304","738","191","547","39.7","19.3"
"15","Office and administrative support occupations","1,457","258","314","884","220","664","43.6","23.4"
"16","Natural resources, construction, and maintenance occupations","1,668","381","373","914","238","676","39.3","18.3"
"17","Farming, fishing, and forestry occupations","167","46","54","67","31","37","22.9","11.6"
"18","Construction and extraction occupations","1,181","272","252","658","173","484","39.5","18.9"
"19","Installation, maintenance, and repair occupations","320","64","67","189","34","155","46.9","24.8"
"20","Production, transportation, and material moving occupations","1,845","392","413","1,041","268","773","39.7","19.8"
"21","Production occupations","865","168","190","507","127","379","43.0","21.7"
"22","Transportation and material moving occupations","980","224","223","534","140","394","36.7","18.2"
"23","","","","","","","","",""
"24","INDUSTRY(3)","","","","","","","",""
"25","Agriculture and related industries","194","49","63","83","34","48","25.3","12.4"
"26","Mining, quarrying, and oil and gas extraction","60","18","17","25","8","17","26.8","10.9"
"27","Construction","1,152","262","247","643","179","464","38.4","18.7"
"28","Manufacturing","1,134","185","246","702","169","533","46.8","24.4"
"29","Durable goods","701","113","145","443","103","341","48.5","26.2"
"30","Nondurable goods","433","72","102","259","66","192","44.2","21.7"
"31","Wholesale and retail trade","1,684","339","375","971","240","731","40.7","20.8"
"32","Transportation and utilities","449","96","91","262","65","198","39.6","21.3"
"33","Information","225","41","42","142","35","107","46.2","25.9"
"34","Financial activities","482","72","98","312","67","245","48.1","28.3"
"35","Professional and business services","1,394","280","321","793","214","580","39.4","19.8"
"36","Education and health services","1,642","358","376","907","239","668","38.0","18.9"
"37","Leisure and hospitality","1,462","349","374","740","220","519","34.6","15.0"
"38","Other services","475","107","107","261","69","192","39.6","18.5"
"39","Public administration","246","48","54","144","31","112","39.9","23.1"
