"","Occupation and industry","2014","2014","2014","2014","2014","2014","2014","2014"
"1","Occupation and industry","Unemployed","Unemployed","Unemployed","Unemployed","Unemployed","Unemployed","Weeks","Weeks"
"2","Occupation and industry","Total","Lessthan5 weeks","5 to 14weeks","15 weeks and over","15 weeks and over","15 weeks and over","Average(mean)duration","Medianduration"
"3","Occupation and industry","Total","Lessthan5 weeks","5 to 14weeks","Total","15 to 26weeks","27 weeksand over","Average(mean)duration","Medianduration"
"4","Total unemployed(1)","9,617","2,471","2,432","4,714","1,497","3,218","33.7","14.0"
"5","","","","","","","","",""
"6","No previous work experience","1,086","277","296","512","172","340","33.3","13.3"
"7","","","","","","","","",""
"8","OCCUPATION","","","","","","","",""
"9","Management, professional, and related occupations","1,777","444","449","884","259","625","36.2","14.4"
"10","Management, business, and financial operations occupations","704","141","170","392","110","282","40.3","18.8"
"11","Professional and related occupations","1,073","303","278","492","149","343","33.5","12.5"
"12","Service occupations","2,048","561","502","984","311","673","32.3","13.6"
"13","Sales and office occupations","2,119","492","527","1,099","338","760","35.3","15.9"
"14","Sales and related occupations","1,022","245","263","515","177","338","32.9","14.7"
"15","Office and administrative support occupations","1,096","247","265","584","161","423","37.6","17.1"
"16","Natural resources, construction, and maintenance occupations","1,171","340","297","534","188","346","31.2","12.4"
"17","Farming, fishing, and forestry occupations","134","39","36","59","26","33","27.6","12.1"
"18","Construction and extraction occupations","813","245","206","361","128","233","30.6","12.0"
"19","Installation, maintenance, and repair occupations","224","56","55","113","34","79","35.8","14.9"
"20","Production, transportation, and material moving occupations","1,385","350","352","683","222","461","32.6","14.2"
"21","Production occupations","632","153","158","321","99","222","33.1","15.1"
"22","Transportation and material moving occupations","754","197","194","362","123","239","32.3","13.6"
"23","","","","","","","","",""
"24","INDUSTRY(2)","","","","","","","",""
"25","Agriculture and related industries","154","46","42","66","29","37","27.6","11.2"
"26","Mining, quarrying, and oil and gas extraction","54","16","14","23","10","13","24.8","11.3"
"27","Construction","776","230","206","340","122","218","29.8","11.8"
"28","Manufacturing","766","165","190","410","120","291","37.0","17.3"
"29","Durable goods","465","103","117","246","73","172","36.0","16.7"
"30","Nondurable goods","301","63","74","165","46","118","38.7","18.3"
"31","Wholesale and retail trade","1,275","313","328","635","208","427","32.7","14.4"
"32","Transportation and utilities","391","93","87","212","71","141","35.8","17.3"
"33","Information","161","38","39","84","24","60","37.8","16.1"
"34","Financial activities","386","77","89","220","64","156","39.3","19.1"
"35","Professional and business services","1,114","276","296","541","172","369","33.5","13.9"
"36","Education and health services","1,222","330","304","588","171","417","33.5","13.5"
"37","Leisure and hospitality","1,209","330","317","562","183","379","30.7","12.9"
"38","Other services","371","107","85","179","53","126","35.4","13.7"
"39","Public administration","179","38","40","101","27","74","42.4","19.6"
"40","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately.","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately.","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately.","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately.","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately.","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately.","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately.","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately.","Footnotes (1) Persons whose last job was in the U.S. Armed Forces are included in the unemployed total, but not shown separately.(2) Industry data refer to wage and salary workers. Persons who were unpaid family workers or self-employed, unincorporated, on their last job are included in the unemployed total, but not shown separately."
"41","NOTE: Updated population controls are introduced annually with the release of January data.","NOTE: Updated population controls are introduced annually with the release of January data.","NOTE: Updated population controls are introduced annually with the release of January data.","NOTE: Updated population controls are introduced annually with the release of January data.","NOTE: Updated population controls are introduced annually with the release of January data.","NOTE: Updated population controls are introduced annually with the release of January data.","NOTE: Updated population controls are introduced annually with the release of January data.","NOTE: Updated population controls are introduced annually with the release of January data.","NOTE: Updated population controls are introduced annually with the release of January data."
