"","label","id","Interval","classification","acs_occ_code","median_edu","median_earnings","total_employment_2010","log_median_earnings","log_total_employment_2010","auto_prob_average","women_pct"
"211","miscellaneous food preparation and serving related workers, including dining room and cafeteria attendants and bartender helpers",210,NA,"Food preparation and serving",4130,5.5947127,7516.26,4577,8.924823953,8.428799041,0.91,0.433
"212","dishwashers",211,NA,"Food preparation and serving",4140,5.025561,6513.26,4147,8.781595378,8.33014046,0.77,0.231
"213","hosts and hostesses, restaurant, lounge, and coffee shop",212,NA,"Food preparation and serving",4150,6.1711273,5562.12,3699,8.62373461,8.215817792,0.97,0.865
"214","first-line supervisors of housekeeping and janitorial workers",213,NA,"Food preparation and serving",4200,6.343762,27351.69,2621,10.2165336,7.871311203,0.94,0.441
"215","first-line supervisors of landscaping, lawn service, and groundskeeping workers",214,NA,"Food preparation and serving",4210,6.560168,26939.42,2144,10.20134592,7.670428522,0.57,0.08
"216","janitors and building cleaners",215,NA,"Food preparation and serving",4220,5.6706467,15925.68,31741,9.67568818,10.3653645,0.66,0.387
"217","maids and housekeeping cleaners",216,NA,"Food preparation and serving",4230,5.200033,8997.58,18197,9.104710931,9.809012024,0.69,0.884
"218","pest control workers",217,NA,"Food preparation and serving",4240,6.484,26579.04,750,10.18787821,6.620073207,0.66,0.051
"219","grounds maintenance workers",218,NA,"Food preparation and serving",4250,5.4671392,11032.65,16935,9.308614337,9.737137765,0.896666667,0.0515
"220","first-line supervisors of gaming workers",219,NA,"Personal care and service ",4300,7.5611906,32769.07,907,10.39724036,6.81014245,0.41,0.402
"221","first-line supervisors of personal service workers",220,NA,"Personal care and service ",4320,7.314898,24543.45,2007,10.1082003,7.604396349,0.076,0.658
"222","animal trainers",221,NA,"Personal care and service ",4340,7.058608,14694.8,546,9.595248969,6.302618976,0.1,0.691
"223","nonfarm animal caretakers",222,NA,"Personal care and service ",4350,6.6545,9781.34,2411,9.188231768,7.787796878,0.82,0.76
"224","gaming services workers",223,NA,"Personal care and service ",4400,6.663134,25957.02,1321,10.16419737,7.186144305,0.935,0.402
"225","motion picture projectionists",224,NA,"Arts, design, entertainment, sports and media",4410,7,13981.4,114,9.545483154,4.736198448,0.97,0.429
"226","ushers, lobby attendants, and ticket takers",225,NA,"Personal care and service ",4420,6.567365,5136.32,668,8.544092149,6.504288174,0.96,0.429
"227","miscellaneous entertainment attendants and related workers",226,NA,"Personal care and service ",4430,6.5547323,8133.93,2969,9.003799481,7.995980475,0.586666667,0.429
"228","embalmers and funeral attendants",227,NA,"Personal care and service ",4460,6.9333334,18585.1,210,9.830115463,5.347107531,0.455,0.7765
"229","morticians, undertakers, and funeral directors",228,NA,"Personal care and service ",4465,8.160896,40100.77,491,10.59915082,6.196444128,0,0.7765
"230","barbers",229,NA,"Personal care and service ",4500,5.973708,7730.17,1103,8.952886134,7.005789019,0.8,0.284
"231","hairdressers, hairstylists, and cosmetologists",230,NA,"Personal care and service ",4510,6.4043646,10858.46,8752,9.292699779,9.077037525,0.11,0.921
"232","miscellaneous personal appearance workers",231,NA,"Personal care and service ",4520,6.0148177,11553.85,2767,9.354773994,7.92551898,0.51,0.9125
"233","baggage porters, bellhops, and concierges",232,NA,"Personal care and service ",4530,6.749395,20376.85,826,9.922154732,6.716594774,0.52,0.291
"234","tour and travel guides",233,NA,"Personal care and service ",4540,7.669666,9361.75,778,9.144387518,6.656726524,0.4835,0.482
"235","childcare workers",234,NA,"Personal care and service ",4600,6.430994,6401.64,18752,8.764309487,9.839055692,0.084,0.938
"236","personal care aides",235,NA,"Personal care and service ",4610,6.268602,11834.58,13023,9.378781033,9.474472304,0.74,0.607
"237","recreation and fitness workers",236,NA,"Personal care and service ",4620,7.416795,12290.6,5859,9.416590022,8.67573422,0.04555,0.578
"238","residential advisors",237,NA,"Personal care and service ",4640,7.3068323,12558.2,805,9.438129118,6.690842277,0.064,0.607
"239","first-line supervisors of retail sales workers",238,NA,"Sales and related",4700,7.2437315,35069.04,34259,10.46507397,10.44170458,0.28,0.446
"240","first-line supervisors of non-retail sales workers",239,NA,"Sales and related",4710,7.8209267,60387.74,13447,11.00854138,9.506511312,0.075,0.359
"241","cashiers",240,NA,"Sales and related",4720,6.1983056,9348.89,46156,9.143012899,10.73978224,0.9,0.698
"242","counter and rental clerks",241,NA,"Sales and related",4740,6.5264516,14265.39,1550,9.565591603,7.34601021,0.97,0.387
"243","parts salespersons",242,NA,"Sales and related",4750,6.4394298,26968.52,1263,10.20242554,7.141245122,0.98,0.229
"244","retail salespersons",243,NA,"Sales and related",4760,7.06402,18787,44767,9.84092042,10.70922654,0.92,0.492
"245","advertising sales agents",244,NA,"Sales and related",4800,8.397845,48409.51,2599,10.78745156,7.862882035,0.54,0.527
"246","insurance sales agents",245,NA,"Sales and related",4810,8.269414,47110.04,6310,10.76024142,8.749890956,0.92,0.549
"247","securities, commodities, and financial services sales agents",246,NA,"Sales and related",4820,9.061688,88665.99,3388,11.39263167,8.127995056,0.016,0.246
"248","travel agents",247,NA,"Sales and related",4830,7.84806,22552.37,928,10.02359544,6.833031733,0.099,0.797
"249","sales representatives, services, all other",248,NA,"Sales and related",4840,8.095743,51891.81,7165,10.85691625,8.87696334,0,0.316
"250","sales representatives, wholesale and manufacturing",249,NA,"Sales and related",4850,8.128997,57359.46,16388,10.95709306,9.704304639,0.55,0.279
"251","models, demonstrators, and product promoters",250,NA,"Sales and related",4900,6.6984534,8772.51,1164,9.079378247,7.059617628,0.745,0.316
"252","real estate brokers and sales agents",251,NA,"Sales and related",4920,8.284383,26717.01,9976,10.19305572,9.207937487,0.915,0.57
"253","sales engineers",252,NA,"Sales and related",4930,9.283545,85808.86,395,11.35987754,5.978885765,0.0041,0.57
"254","telemarketers",253,NA,"Sales and related",4940,6.6250596,10450.84,2099,9.254437637,7.64921632,0.99,0.57
"255","door-to-door sales workers, news and street vendors, and related workers",254,NA,"Sales and related",4950,6.600703,7987.31,2562,8.985609311,7.848543482,0.94,0.552
"256","first-line supervisors of office and administrative support workers",255,NA,"Office and administrative support",5000,7.6973677,42186.11,16753,10.6498463,9.726332626,0.014,0.658
"257","switchboard operators, including answering service",256,NA,"Office and administrative support",5010,6.673585,17287.89,530,9.757761535,6.272877007,0.96,0.544
"258","telephone operators",257,NA,"Office and administrative support",5020,6.851852,20340.69,648,9.920378592,6.473890696,0.97,0.544
"259","bill and account collectors",258,NA,"Office and administrative support",5100,7.023201,25205.75,2543,10.13482742,7.841099765,0.95,0.712
"260","billing and posting clerks",259,NA,"Office and administrative support",5110,7.0989995,25780.95,5798,10.15739113,8.665268309,0.96,0.914
"261","bookkeeping, accounting, and auditing clerks",260,NA,"Office and administrative support",5120,7.058901,25381.16,18217,10.14176245,9.810110503,0.98,0.862
"262","gaming cage workers",261,NA,"Office and administrative support",5130,6.519737,18902.63,152,9.847056345,5.023880521,0.39,0.544
"263","payroll and timekeeping clerks",262,NA,"Office and administrative support",5140,7.169267,29522.03,2115,10.29289204,7.656810091,0.97,0.882
"264","procurement clerks",263,NA,"Office and administrative support",5150,7.5433674,41437.5,392,10.63194155,5.97126184,0.98,0.544
"265","tellers",264,NA,"Office and administrative support",5160,7.0477843,16794,5190,9.728776959,8.554488976,0.98,0.789
"266","brokerage clerks",265,NA,"Office and administrative support",5200,7.7674417,36562.4,129,10.50677567,4.859812404,0.98,0.719
"267","correspondence clerks and order clerks",266,NA,"Office and administrative support",5350,6.778752,20437.09,1939,9.925106666,7.569927655,0.92,0.719
"268","court, municipal, and license clerks",267,NA,"Office and administrative support",5220,7.2797565,28511.78,1151,10.25807261,7.048386409,0.46,0.719
"269","credit authorizers, checkers, and clerks",268,NA,"Office and administrative support",5230,7.3384852,36295.78,647,10.49945676,6.472346295,0.97,0.719
"270","customer service representatives",269,NA,"Office and administrative support",5240,7.125244,22897.73,27131,10.03879306,10.20843226,0.55,0.653
"271","eligibility interviewers, government programs",270,NA,"Office and administrative support",5250,8.097503,35938.88,841,10.489575,6.73459166,0.7,0.797
"272","file clerks",271,NA,"Office and administrative support",5260,6.960863,17380.12,5468,9.763082303,8.606668198,0.97,0.76
"273","hotel, motel, and resort desk clerks",272,NA,"Office and administrative support",5300,6.953693,13152.95,1706,9.484401347,7.441906728,0.94,0.675
"274","interviewers, except eligibility and loan",273,NA,"Office and administrative support",5310,7.6819825,13508.15,3591,9.511048486,8.186185994,0.94,0.796
"275","library assistants, clerical",274,NA,"Office and administrative support",5320,7.7924414,12903.52,1667,9.465255421,7.418780883,0.95,0.832
"276","loan interviewers and clerks",275,NA,"Office and administrative support",5330,7.320442,29400.77,1448,10.28877614,7.277938573,0.92,0.769
"277","new accounts clerks",276,NA,"Office and administrative support",5340,7.104762,28548.05,210,10.25934391,5.347107531,0.99,0.719
"278","human resources assistants, except payroll and timekeeping",277,NA,"Office and administrative support",5360,7.608021,29993.38,773,10.30873197,6.650279049,0.9,0.881
"279","receptionists and information clerks",278,NA,"Office and administrative support",5400,6.9092116,15400.5,15839,9.642155255,9.670230532,0.96,0.891
"280","reservation and transportation ticket agents and travel clerks",279,NA,"Office and administrative support",5410,7.4212737,28314.4,1429,10.25112579,7.264730178,0.61,0.459
"281","cargo and freight agents",280,NA,"Office and administrative support",5500,6.9540815,30367.5,196,10.32112824,5.278114659,0.99,0.278
"282","couriers and messengers",281,NA,"Office and administrative support",5510,6.7157636,23544.83,3673,10.06666154,8.208764046,0.94,0.278
"283","dispatchers",282,NA,"Office and administrative support",5520,6.8566036,29953.1,3180,10.3073881,8.064636476,0.725,0.544
"284","meter readers, utilities",283,NA,"Office and administrative support",5530,6.7286997,32450.45,446,10.38746959,6.100318952,0.85,0.541
"285","postal service clerks",284,NA,"Office and administrative support",5540,7.054525,37450.01,1779,10.53076226,7.483806688,0.95,0.541
"286","postal service mail carriers",285,NA,"Office and administrative support",5550,6.9462757,39832.64,4095,10.59244196,8.317521996,0.68,0.347
"287","postal service mail sorters, processors, and processing machine operators",286,NA,"Office and administrative support",5560,6.9656487,36395.41,1048,10.50219795,6.954638865,0.79,0.631
"288","production, planning, and expediting clerks",287,NA,"Office and administrative support",5600,7.6350346,38038.59,3488,10.54635645,8.157083785,0.88,0.436
"289","shipping, receiving, and traffic clerks",288,NA,"Office and administrative support",5610,6.2797794,22120.45,6884,10.0042578,8.836955157,0.98,0.368
"290","stock clerks and order fillers",289,NA,"Office and administrative support",5620,6.2278895,15230.08,19606,9.631027699,9.883590921,0.64,0.365
"291","weighers, measurers, checkers, and samplers, recordkeeping",290,NA,"Office and administrative support",5630,6.473175,23592.83,1137,10.06869813,7.036148494,0.95,0.487
"292","secretaries and administrative assistants",291,NA,"Office and administrative support",5700,7.1973944,24288.7,50427,10.0977665,10.82828202,0.9025,0.92775
"293","computer operators",292,NA,"Office and administrative support",5800,7.3772283,31317,1739,10.35191636,7.461065514,0.78,0.688
"294","data entry keyers",293,NA,"Office and administrative support",5810,7.14557,19937.77,5372,9.900371202,8.588955558,0.99,0.727
"295","word processors and typists",294,NA,"Office and administrative support",5820,7.1102014,19254.28,4764,9.865488653,8.46884293,0.81,0.727
"296","miscellaneous office and administrative support workers, including desktop publishers",295,NA,"Office and administrative support",5940,7.731772,27870.43,6405,10.23532155,8.764834214,0.16,0.727
"297","insurance claims and policy processing clerks",296,NA,"Office and administrative support",5840,7.3499265,29183.27,3395,10.28135088,8.13005904,0.98,0.801
"298","mail clerks and mail machine operators, except postal service",297,NA,"Office and administrative support",5850,6.570318,17751.36,1415,9.784217412,7.25488481,0.94,0.813
"299","office clerks, general",298,NA,"Office and administrative support",5860,7.117504,21376.96,16042,9.970068986,9.682965562,0.96,0.813
"300","office machine operators, except computer",299,NA,"Office and administrative support",5900,6.673145,18487.01,566,9.824823602,6.338594078,0.92,0.813
"301","proofreaders and copy markers",300,NA,"Office and administrative support",5910,8.430851,16933.94,188,9.737075171,5.236441963,0.84,0.813
"302","statistical assistants",301,NA,"Office and administrative support",5920,7.773134,30331.4,335,10.31993876,5.814130532,0.66,0.688
"303","first-line supervisors of farming, fishing, and forestry workers",302,NA,"Farming, fishing and forestry",6005,6.1312337,29957.23,762,10.30752598,6.635946556,0.57,0.181
"304","agricultural inspectors",303,NA,"Farming, fishing and forestry",6010,7.308642,35318.52,243,10.47216275,5.493061443,0.94,0.287
"305","miscellaneous agricultural workers, including animal breeders",304,NA,"Farming, fishing and forestry",6050,4.668162,14015.09,12039,9.547889885,9.395906659,0,0.287
"306","graders and sorters, agricultural products",305,NA,"Farming, fishing and forestry",6040,4.36444,11815.74,1018,9.37718782,6.925595197,0.41,0.287
"307","fishing and hunting workers",306,NA,"Farming, fishing and forestry",6100,5.7198796,11307.31,664,9.333204698,6.498282149,0.83,0.287
"308","forest and conservation workers",307,NA,"Farming, fishing and forestry",6120,6.216301,16973.17,319,9.739389141,5.765191103,0.87,0.287
"309","logging workers",308,NA,"Farming, fishing and forestry",6130,5.35042,15100.19,1190,9.622462606,7.081708586,0.84,0.017
"310","first-line supervisors of construction trades and extraction workers",309,NA,"Construction and extraction",6200,6.4337316,40983.28,10963,10.62091946,9.302281246,0.17,0.051
"311","boilermakers",310,NA,"Construction and extraction",6210,6.179487,42163.14,312,10.64930166,5.743003188,0.68,0.015
"312","brickmasons, blockmasons, stonemasons, and reinforcing iron and rebar workers",311,NA,"Construction and extraction",6220,5.394801,17920.18,2039,9.793682731,7.620214771,0.87,0.015
"313","carpenters",312,NA,"Construction and extraction",6230,5.9181347,17268.04,16234,9.756612673,9.694863087,0.72,0.031
"314","carpet, floor, and tile installers and finishers",313,NA,"Construction and extraction",6240,5.4602947,14349.76,2103,9.571488496,7.651120176,0.82,0.058
"315","cement masons, concrete finishers, and terrazzo workers",314,NA,"Construction and extraction",6250,5.265353,17840.94,863,9.789251095,6.760414691,0.91,0.047
"316","construction laborers",315,NA,"Construction and extraction",6260,5.541393,17359.57,20547,9.761899218,9.930470224,0.88,0.045
"317","paving, surfacing, and tamping equipment operators",316,NA,"Construction and extraction",6300,5.3022223,25537.42,225,10.14790011,5.416100402,0.83,0.01
"318","construction equipment operators except paving, surfacing, and tamping equipment operators",317,NA,"Construction and extraction",6320,5.806445,30145.07,4903,10.31377667,8.497602542,0.885,0.01
"319","drywall installers, ceiling tile installers, and tapers",318,NA,"Construction and extraction",6330,5.050788,14242.97,1713,9.564018731,7.446001498,0.705,0.041
"320","electricians",319,NA,"Construction and extraction",6355,6.5707808,35130.81,9042,10.4668338,9.109635668,0.15,0.029
"321","glaziers",320,NA,"Construction and extraction",6360,5.810379,29529.92,501,10.29315927,6.216606101,0.73,0.05
"322","insulation workers",321,NA,"Construction and extraction",6400,5.3656564,24536.89,495,10.10793298,6.204557763,0.735,0.05
"323","painters and paperhangers",322,NA,"Construction and extraction",6420,5.610199,13251.95,6883,9.49189999,8.836809882,0.81,0.104
"324","pipelayers, plumbers, pipefitters, and steamfitters",323,NA,"Construction and extraction",6440,6.052462,30580.84,6214,10.32812895,8.73456009,0.485,0.018
"325","plasterers and stucco masons",324,NA,"Construction and extraction",6460,4.7218046,16584.04,399,9.716196066,5.988961417,0.84,0.044
"326","roofers",325,NA,"Construction and extraction",6515,5.078937,15601.94,2559,9.655150544,7.847371836,0.9,0.044
"327","sheet metal workers",326,NA,"Construction and extraction",6520,6.090966,30424.39,1594,10.32299987,7.374001859,0.82,0.065
"328","structural iron and steel workers",327,NA,"Construction and extraction",6530,6.0131106,29147.07,839,10.28010967,6.732210706,0.83,0.065
"329","miscellaneous construction workers, including solar photovoltaic installers, septic tank servicers and sewer pipe cleaners",328,NA,"Construction and extraction",6765,5.8372483,22125.67,596,10.00449375,6.390240667,0.83,0.075
"330","helpers, construction trades",329,NA,"Construction and extraction",6600,5.273872,13936.46,953,9.542263707,6.859614904,0.786666667,0.062
"331","construction and building inspectors",330,NA,"Construction and extraction",6660,7.4616575,36312.7,1291,10.49992282,7.163172391,0.63,0.105
"332","elevator installers and repairers",331,NA,"Construction and extraction",6700,6.5903225,62789.68,310,11.04754601,5.736572297,0.39,0.105
"333","fence erectors",332,NA,"Construction and extraction",6710,5.275568,14349.18,352,9.571448077,5.863631176,0.92,0.105
"334","hazardous materials removal workers",333,NA,"Construction and extraction",6720,6.187204,26624.6,422,10.18959088,6.045005314,0.53,0.022
"335","highway maintenance workers",334,NA,"Construction and extraction",6730,6.0326295,28628.45,1563,10.26215626,7.35436233,0.87,0.022
"336","rail-track laying and maintenance equipment operators",335,NA,"Construction and extraction",6740,6.044025,39567.3,159,10.5857583,5.068904202,0.89,0.022
"337","derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining",336,NA,"Construction and extraction",6800,5.6356277,42293.28,494,10.65238349,6.202535517,0.735,0.022
"338","earth drillers, except oil and gas",337,NA,"Construction and extraction",6820,5.838806,37878.51,335,10.54213921,5.814130532,0.85,0.022
"339","explosives workers, ordnance handling experts, and blasters",338,NA,"Construction and extraction",6830,6.550898,35834.73,167,10.48667281,5.117993812,0.48,0.022
"340","mining machine operators",339,NA,"Construction and extraction",6840,6.0713406,45642.31,813,10.72859042,6.70073111,0.565,0.022
"341","miscellaneous extraction workers, including roof bolters and helpers",340,NA,"Construction and extraction",6940,5.745782,35805.26,889,10.48585009,6.790097236,0.606666667,0.022
"342","first-line supervisors of mechanics, installers, and repairers",341,NA,"Installation, maintenance and repair",7000,6.883188,49296.26,3664,10.8056035,8.206310726,0.003,0.071
"343","computer, automated teller, and office machine repairers",342,NA,"Installation, maintenance and repair",7010,7.517556,32518.93,2848,10.38957766,7.954372273,0.74,0.138
"344","radio and telecommunications equipment installers and repairers",343,NA,"Installation, maintenance and repair",7020,6.996084,40810.43,2043,10.61669297,7.622174595,0.645,0.059
"345","avionics technicians",344,NA,"Installation, maintenance and repair",7030,7.037657,47582.43,239,10.77021885,5.476463552,0.7,0.043
"346","electric motor, power tool, and related repairers",345,NA,"Installation, maintenance and repair",7040,6.5549874,31910.28,391,10.37068349,5.96870756,0.76,0.043
"347","electrical and electronics repairers, transportation equipment, and industrial and utility",346,NA,"Installation, maintenance and repair",7100,6.96337,44432.23,273,10.70172039,5.609471795,0.566666667,0.043
"348","electronic equipment installers and repairers, motor vehicles",347,NA,"Installation, maintenance and repair",7110,6.5549135,28875.14,173,10.2707363,5.153291595,0.61,0.043
"349","electronic home entertainment equipment installers and repairers",348,NA,"Installation, maintenance and repair",7120,6.6246457,25023.37,706,10.12756547,6.559615237,0.65,0.043
"350","security and fire alarm systems installers",349,NA,"Installation, maintenance and repair",7130,6.6991453,35026.1,585,10.46384878,6.371611847,0.82,0.043
"351","aircraft mechanics and service technicians",350,NA,"Installation, maintenance and repair",7140,6.979506,43837.26,1903,10.68823942,7.551186867,0.71,0.043
"352","automotive body and related repairers",351,NA,"Installation, maintenance and repair",7150,5.770745,25396.76,1880,10.14237689,7.539027056,0.91,0.068
"353","automotive glass installers and repairers",352,NA,"Installation, maintenance and repair",7160,6.03271,20914.95,214,9.948219493,5.365976015,0.55,0.068
"354","automotive service technicians and mechanics",353,NA,"Installation, maintenance and repair",7200,6.061156,25738.7,9484,10.15575097,9.157361447,0.59,0.025
"355","bus and truck mechanics and diesel engine specialists",354,NA,"Installation, maintenance and repair",7210,6.1262817,33626.23,3413,10.4230617,8.135346949,0.73,0.016
"356","heavy vehicle and mobile equipment service technicians and mechanics",355,NA,"Installation, maintenance and repair",7220,6.182195,37783.13,2651,10.53961799,7.882692206,0.676666667,0.023
"357","small engine mechanics",356,NA,"Installation, maintenance and repair",7240,6.0504885,20180.15,614,9.912454727,6.419994928,0.793333333,0.032
"358","miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",357,NA,"Installation, maintenance and repair",7260,5.8062363,17845.94,898,9.78953131,6.800170068,0.743333333,0.032
"359","control and valve installers and repairers",358,NA,"Installation, maintenance and repair",7300,6.4117646,37369.41,255,10.52860773,5.541263545,0.77,0.032
"360","heating, air conditioning, and refrigeration mechanics and installers",359,NA,"Installation, maintenance and repair",7315,6.346701,31793.71,3865,10.36702375,8.259716961,0.65,0.023
"361","home appliance repairers",360,NA,"Installation, maintenance and repair",7320,6.3949194,25237.18,433,10.13607358,6.070737728,0.72,0.023
"362","industrial and refractory machinery mechanics",361,NA,"Installation, maintenance and repair",7330,6.361082,37301.95,4805,10.52680088,8.477412321,0.745,0.039
"363","maintenance workers, machinery",362,NA,"Installation, maintenance and repair",7350,6.3042254,33211.46,355,10.41065028,5.872117789,0.86,0.047
"364","millwrights",363,NA,"Installation, maintenance and repair",7360,6.319783,36028.62,738,10.4920689,6.603943825,0.59,0.047
"365","electrical power-line installers and repairers",364,NA,"Installation, maintenance and repair",7410,6.4466715,53821.88,1397,10.89343535,7.242082359,0.097,0.023
"366","telecommunications line installers and repairers",365,NA,"Installation, maintenance and repair",7420,6.6384697,39229.55,1856,10.57718557,7.526178913,0.49,0.053
"367","precision instrument and equipment repairers",366,NA,"Installation, maintenance and repair",7430,7.2830424,35729.15,802,10.48372216,6.687108608,0.785,0.023
"368","maintenance and repair workers, general",367,NA,"Installation, maintenance and repair",7340,6.282104,33137.9,6331,10.40843292,8.753213481,0.64,0.047
"369","miscellaneous installation, maintenance, and repair workers, including wind turbine service technicians",368,NA,"Installation, maintenance and repair",7630,6.411317,25658.15,3022,10.15261654,8.013674143,0.68,0.041
"370","coin, vending, and amusement machine servicers and repairers",369,NA,"Installation, maintenance and repair",7510,6.5984254,22488.37,508,10.02075357,6.230481448,0.94,0.459
"371","locksmiths and safe repairers",370,NA,"Installation, maintenance and repair",7540,6.4786887,24761.64,305,10.11705096,5.720311777,0.77,0.459
"372","riggers",371,NA,"Installation, maintenance and repair",7560,6.0136056,36098.64,147,10.49401047,4.990432587,0.89,0.039
"373","helpers--installation, maintenance, and repair workers",372,NA,"Installation, maintenance and repair",7610,5.631098,15033.63,328,9.618044971,5.793013608,0.79,0.459
"374","first-line supervisors of production and operating workers",373,NA,"Production",7700,6.7301755,45323.3,11211,10.72157653,9.324650718,0.016,0.235
"375","aircraft structure, surfaces, rigging, and systems assemblers",374,NA,"Production",7710,6.133858,31176.93,127,10.34743368,4.844187086,0.79,0.07
"376","electrical, electronics, and electromechanical assemblers",375,NA,"Production",7720,5.908266,20005.22,1984,9.903748518,7.592870288,0.883333333,0.459
"377","engine and other machine assemblers",376,NA,"Production",7730,6.1391754,27149.54,194,10.20911538,5.267858159,0.82,0.07
"378","structural metal fabricators and fitters",377,NA,"Production",7740,6.1815643,31081.17,358,10.34435745,5.880532986,0.41,0.07
"379","miscellaneous assemblers and fabricators",378,NA,"Production",7750,5.9098697,20069.96,12027,9.906979449,9.394909401,0.95,0.371
"380","bakers",379,NA,"Production",7800,5.9208565,15695.85,2148,9.661151625,7.672292456,0.89,0.655
"381","butchers and other meat, poultry, and fish processing workers",380,NA,"Production",7810,5.348967,20738.32,3049,9.939738476,8.022568947,0.823333333,0.276
"382","food and tobacco roasting, baking, and drying machine operators and tenders",381,NA,"Production",7830,5.8842974,20771.07,121,9.941316432,4.795790546,0.91,0.276
"383","food batchmakers",382,NA,"Production",7840,5.8915777,17538.83,1033,9.772172559,6.940222469,0.7,0.557
"384","food cooking machine operators and tenders",383,NA,"Production",7850,5.5820894,19542.01,134,9.880321786,4.8978398,0.61,0.557
"385","computer control programmers and operators",384,NA,"Production",7900,6.5814977,31220.99,908,10.3488459,6.811244379,0.61,0.078
"386","extruding and drawing machine setters, operators, and tenders, metal and plastic",385,NA,"Production",7920,6.151079,27747.48,139,10.2309003,4.934473933,0.91,0.07
"387","forging machine setters, operators, and tenders, metal and plastic",386,NA,"Production",7930,5.9791665,30035.21,96,10.31012564,4.564348191,0.93,0.07
"388","rolling machine setters, operators, and tenders, metal and plastic",387,NA,"Production",7940,5.6837606,26134.27,117,10.17100276,4.762173935,0.83,0.07
"389","machine tool cutting setters, operators, and tenders, metal and plastic",388,NA,"Production",7950,5.7381344,20814.27,1222,9.943394088,7.10824414,0.898,0.07
"390","machinists",389,NA,"Production",8030,6.2609186,34547.16,4419,10.45008063,8.393668705,0.65,0.063
"391","metal furnace operators, tenders, pourers, and casters",390,NA,"Production",8040,6.0472727,29565.2,275,10.29435327,5.616771098,0.875,0.063
"392","model makers, patternmakers, and molding machine setters, metal and plastic",391,NA,"Production",8100,5.89948,23717.12,577,10.07395243,6.357842267,0.8625,0.063
"393","miscellaneous metal workers and plastic workers, including multiple machine tool setters",392,NA,"Production",8220,5.7945867,24683.25,4766,10.11388015,8.469262658,0.892,0.063
"394","tool and die makers",393,NA,"Production",8130,6.467039,34660.66,895,10.45336061,6.796823718,0.84,0.247
"395","welding, soldering, and brazing workers",394,NA,"Production",8140,5.765284,27064.67,7328,10.20598447,8.899457906,0.775,0.058
"396","prepress technicians and workers",395,NA,"Production",8250,6.819502,21449.46,482,9.973454749,6.177944114,0.97,0.247
"397","printing press operators",396,NA,"Production",8255,6.2613373,25924.18,2602,10.1629314,7.864035659,0.83,0.247
"398","print binding and finishing workers",397,NA,"Production",8256,6.171504,19166.81,379,9.860935416,5.937536205,0.95,0.247
"399","laundry and dry-cleaning workers",398,NA,"Production",8300,5.2429285,13186.32,2404,9.486935208,7.784889296,0.71,0.745
"400","pressers, textile, garment, and related materials",399,NA,"Production",8310,4.786325,13098.26,585,9.480234676,6.371611847,0.81,0.745
"401","sewing machine operators",400,NA,"Production",8320,4.9496403,12508.3,2919,9.434147703,7.978996371,0.89,0.707
"402","shoe and leather workers",401,NA,"Production",8330,5.9565215,10250.8,138,9.23511103,4.927253685,0.52,0.707
"403","tailors, dressmakers, and sewers",402,NA,"Production",8350,5.949078,11775.42,1139,9.373769587,7.037905963,0.915,0.814
"404","textile bleaching and dyeing, and cutting machine setters, operators, and tenders",403,NA,"Production",8400,5.6792455,15681.76,159,9.660253533,5.068904202,0.96,0.814
"405","textile knitting and weaving machine setters, operators, and tenders",404,NA,"Production",8410,5.550296,14939.64,169,9.611773362,5.129898715,0.73,0.814
"406","textile winding, twisting, and drawing out machine setters, operators, and tenders",405,NA,"Production",8420,5.11399,14111.19,193,9.554723379,5.262690189,0.96,0.814
"407","miscellaneous textile, apparel, and furnishings workers except upholsterers",406,NA,"Production",8460,5.9012737,22061.21,314,10.00157614,5.749392986,0.44245,0.814
"408","upholsterers",407,NA,"Production",8450,5.611465,14727.66,471,9.597482637,6.154858094,0.39,0.814
"409","cabinetmakers and bench carpenters",408,NA,"Production",8500,6.15414,18815.9,785,9.842457536,6.665683718,0.92,0.055
"410","furniture finishers",409,NA,"Production",8510,5.5586853,15371.97,213,9.640301,5.361292166,0.87,0.055
"411","miscellaneous woodworkers, including model makers and patternmakers",410,NA,"Production",8550,6.2607656,16939.14,418,9.7373822,6.035481433,0.935,0.055
"412","sawing machine setters, operators, and tenders, wood",411,NA,"Production",8530,5.156673,16846.48,517,9.731897012,6.248042875,0.86,0.814
"413","woodworking machine setters, operators, and tenders, except sawing",412,NA,"Production",8540,5.3460317,16484.92,315,9.710201303,5.752572639,0.97,0.055
"414","power plant operators, distributors, and dispatchers",413,NA,"Production",8600,7.0249586,65636.11,601,11.09188128,6.398594935,0.745,0.073
"415","stationary engineers and boiler operators",414,NA,"Production",8610,6.722569,46910.73,1121,10.75600171,7.021976423,0.89,0.071
"416","water and wastewater treatment plant and system operators",415,NA,"Production",8620,6.758112,39799.38,1017,10.59160661,6.924612396,0.61,0.073
"417","miscellaneous plant and system operators",416,NA,"Production",8630,6.6222224,50625.66,495,10.83221384,6.204557763,0.8,0.073
"418","chemical processing machine setters, operators, and tenders",417,NA,"Production",8640,6.8702865,43309.74,663,10.67613283,6.49677499,0.82,0.073
"419","crushing, grinding, polishing, mixing, and blending workers",418,NA,"Production",8650,5.787853,27161.39,1169,10.20955176,7.063903961,0.923333333,0.155
