label,id,Interval,classification,acs_occ_code,median_edu,median_earnings,total_employment_2010,log_median_earnings,log_total_employment_2010,auto_prob_average
massage therapists,178,,Healthcare support,3630,7.6409035,11055.9,1682,9.310719501,7.427738841,0.54
dental assistants,179,,Healthcare support,3640,6.9372225,21863.23,3154,9.992561509,8.056426768,0.51
medical assistants,180,,Healthcare support,3645,7.058679,21405.12,4482,9.971385425,8.407824654,0.3
"healthcare support workers, all other, including medical equipment preparers",181,,Healthcare support,3655,6.4663887,19733.27,1919,9.890061323,7.559559496,0.78
medical transcriptionists,182,,Healthcare support,3646,7.4133635,19543.84,883,9.880415426,6.783325201,0.89
pharmacy aides,183,,Healthcare support,3647,7.2313576,21141.24,523,9.958980914,6.259581464,0.72
veterinary assistants and laboratory animal caretakers,184,,Healthcare support,3648,6.9911504,13065.42,565,9.477724324,6.336825731,0.86
phlebotomists,185,,Healthcare support,3649,7.020388,22484.92,1030,10.02060014,6.937314081,0
first-line supervisors of correctional officers,186,,Protective service,3700,7.5340376,46302.78,852,10.74295728,6.747586527,0.025
first-line supervisors of police and detectives,187,,Protective service,3710,8.228378,67864.66,1480,11.12527071,7.299797367,0.0044
first-line supervisors of fire fighting and prevention workers,188,,Protective service,3720,7.758514,70343.59,646,11.16114694,6.470799504,0.0036
firefighters,189,,Protective service,3740,7.3985505,54774.79,3174,10.91098533,8.062747901,0.17
fire inspectors,190,,Protective service,3750,7.669456,41875.61,239,10.64245884,5.476463552,0.264
"bailiffs, correctional officers, and jailers",191,,Protective service,3800,6.9853373,38591.07,5115,10.56077618,8.539932678,0.48
detectives and criminal investigators,192,,Protective service,3820,8.635105,62523.15,1373,11.04329217,7.224753406,0.34
miscellaneous law enforcement workers,193,,Protective service,3840,7.42029,28552.9,138,10.25951379,4.927253685,0.46
police officers,194,,Protective service,3850,7.853462,54088.8,7336,10.89838242,8.900549014,0.334
animal control workers,195,,Protective service,3900,7.025862,34883.62,116,10.45977266,4.753590191,0.21
private detectives and investigators,196,,Protective service,3910,8.57339,43226.04,947,10.67419837,6.853299093,0.31
security guards and gaming surveillance officers,197,,Protective service,3930,6.8085165,22920.44,11249,10.03978437,9.328034515,0.895
crossing guards,198,,Protective service,3940,6.031646,10940.56,948,9.300232263,6.854354502,0.49
"lifeguards and other recreational, and all other protective service workers",199,,Protective service,3955,6.110964,6277.8,3776,8.74477488,8.236420527,0.67
transportation security screeners,200,,Protective service,3945,7.357377,30890.26,305,10.3381962,5.720311777,0
chefs and head cooks,201,,Food preparation and serving,4000,6.4393983,25486.52,3457,10.14590496,8.14815644,0.1
first-line supervisors of food preparation and serving workers,202,,Food preparation and serving,4010,6.60956,21105.55,6088,9.957291318,8.7140749,0.63
cooks,203,,Food preparation and serving,4020,5.613839,10973.47,27025,9.30323582,10.20451764,0.885
food preparation workers,204,,Food preparation and serving,4030,5.8236084,8264.1,10437,9.019676111,9.253112464,0.87
bartenders,205,,Food preparation and serving,4040,6.9407525,14902.28,4439,9.6092695,8.398184405,0.77
"combined food preparation and serving workers, including fast food",206,,Food preparation and serving,4050,5.877736,8796.35,4523,9.082092142,8.416930769,0.92
"counter attendants, cafeteria, food concession, and coffee shop",207,,Food preparation and serving,4060,5.7730412,4928.73,3472,8.502836627,8.152486076,0.96
waiters and waitresses,208,,Food preparation and serving,4110,6.447832,10075.33,25188,9.217845141,10.13412297,0.94
"food servers, nonrestaurant",209,,Food preparation and serving,4120,6.0626554,12310.07,2410,9.418172906,7.787382026,0.86
"miscellaneous food preparation and serving related workers, including dining room and cafeteria attendants and bartender helpers",210,,Food preparation and serving,4130,5.5947127,7516.26,4577,8.924823953,8.428799041,0.91
dishwashers,211,,Food preparation and serving,4140,5.025561,6513.26,4147,8.781595378,8.33014046,0.77
"hosts and hostesses, restaurant, lounge, and coffee shop",212,,Food preparation and serving,4150,6.1711273,5562.12,3699,8.62373461,8.215817792,0.97
first-line supervisors of housekeeping and janitorial workers,213,,Food preparation and serving,4200,6.343762,27351.69,2621,10.2165336,7.871311203,0.94
"first-line supervisors of landscaping, lawn service, and groundskeeping workers",214,,Food preparation and serving,4210,6.560168,26939.42,2144,10.20134592,7.670428522,0.57
janitors and building cleaners,215,,Food preparation and serving,4220,5.6706467,15925.68,31741,9.67568818,10.3653645,0.66
maids and housekeeping cleaners,216,,Food preparation and serving,4230,5.200033,8997.58,18197,9.104710931,9.809012024,0.69
pest control workers,217,,Food preparation and serving,4240,6.484,26579.04,750,10.18787821,6.620073207,0.66
grounds maintenance workers,218,,Food preparation and serving,4250,5.4671392,11032.65,16935,9.308614337,9.737137765,0.896666667
first-line supervisors of gaming workers,219,,Personal care and service ,4300,7.5611906,32769.07,907,10.39724036,6.81014245,0.41
first-line supervisors of personal service workers,220,,Personal care and service ,4320,7.314898,24543.45,2007,10.1082003,7.604396349,0.076
animal trainers,221,,Personal care and service ,4340,7.058608,14694.8,546,9.595248969,6.302618976,0.1
nonfarm animal caretakers,222,,Personal care and service ,4350,6.6545,9781.34,2411,9.188231768,7.787796878,0.82
gaming services workers,223,,Personal care and service ,4400,6.663134,25957.02,1321,10.16419737,7.186144305,0.935
motion picture projectionists,224,,"Arts, design, entertainment, sports and media",4410,7,13981.4,114,9.545483154,4.736198448,0.97
"ushers, lobby attendants, and ticket takers",225,,Personal care and service ,4420,6.567365,5136.32,668,8.544092149,6.504288174,0.96
miscellaneous entertainment attendants and related workers,226,,Personal care and service ,4430,6.5547323,8133.93,2969,9.003799481,7.995980475,0.586666667
embalmers and funeral attendants,227,,Personal care and service ,4460,6.9333334,18585.1,210,9.830115463,5.347107531,0.455
"morticians, undertakers, and funeral directors",228,,Personal care and service ,4465,8.160896,40100.77,491,10.59915082,6.196444128,0
barbers,229,,Personal care and service ,4500,5.973708,7730.17,1103,8.952886134,7.005789019,0.8
"hairdressers, hairstylists, and cosmetologists",230,,Personal care and service ,4510,6.4043646,10858.46,8752,9.292699779,9.077037525,0.11
miscellaneous personal appearance workers,231,,Personal care and service ,4520,6.0148177,11553.85,2767,9.354773994,7.92551898,0.51
"baggage porters, bellhops, and concierges",232,,Personal care and service ,4530,6.749395,20376.85,826,9.922154732,6.716594774,0.52
tour and travel guides,233,,Personal care and service ,4540,7.669666,9361.75,778,9.144387518,6.656726524,0.4835
childcare workers,234,,Personal care and service ,4600,6.430994,6401.64,18752,8.764309487,9.839055692,0.084
personal care aides,235,,Personal care and service ,4610,6.268602,11834.58,13023,9.378781033,9.474472304,0.74
recreation and fitness workers,236,,Personal care and service ,4620,7.416795,12290.6,5859,9.416590022,8.67573422,0.04555
residential advisors,237,,Personal care and service ,4640,7.3068323,12558.2,805,9.438129118,6.690842277,0.064
first-line supervisors of retail sales workers,238,,Sales and related,4700,7.2437315,35069.04,34259,10.46507397,10.44170458,0.28
first-line supervisors of non-retail sales workers,239,,Sales and related,4710,7.8209267,60387.74,13447,11.00854138,9.506511312,0.075
cashiers,240,,Sales and related,4720,6.1983056,9348.89,46156,9.143012899,10.73978224,0.9
counter and rental clerks,241,,Sales and related,4740,6.5264516,14265.39,1550,9.565591603,7.34601021,0.97
parts salespersons,242,,Sales and related,4750,6.4394298,26968.52,1263,10.20242554,7.141245122,0.98
retail salespersons,243,,Sales and related,4760,7.06402,18787,44767,9.84092042,10.70922654,0.92
advertising sales agents,244,,Sales and related,4800,8.397845,48409.51,2599,10.78745156,7.862882035,0.54
insurance sales agents,245,,Sales and related,4810,8.269414,47110.04,6310,10.76024142,8.749890956,0.92
"securities, commodities, and financial services sales agents",246,,Sales and related,4820,9.061688,88665.99,3388,11.39263167,8.127995056,0.016
travel agents,247,,Sales and related,4830,7.84806,22552.37,928,10.02359544,6.833031733,0.099
"sales representatives, services, all other",248,,Sales and related,4840,8.095743,51891.81,7165,10.85691625,8.87696334,0
"sales representatives, wholesale and manufacturing",249,,Sales and related,4850,8.128997,57359.46,16388,10.95709306,9.704304639,0.55
"models, demonstrators, and product promoters",250,,Sales and related,4900,6.6984534,8772.51,1164,9.079378247,7.059617628,0.745
real estate brokers and sales agents,251,,Sales and related,4920,8.284383,26717.01,9976,10.19305572,9.207937487,0.915
sales engineers,252,,Sales and related,4930,9.283545,85808.86,395,11.35987754,5.978885765,0.0041
telemarketers,253,,Sales and related,4940,6.6250596,10450.84,2099,9.254437637,7.64921632,0.99
"door-to-door sales workers, news and street vendors, and related workers",254,,Sales and related,4950,6.600703,7987.31,2562,8.985609311,7.848543482,0.94
first-line supervisors of office and administrative support workers,255,,Office and administrative support,5000,7.6973677,42186.11,16753,10.6498463,9.726332626,0.014
"switchboard operators, including answering service",256,,Office and administrative support,5010,6.673585,17287.89,530,9.757761535,6.272877007,0.96
telephone operators,257,,Office and administrative support,5020,6.851852,20340.69,648,9.920378592,6.473890696,0.97
bill and account collectors,258,,Office and administrative support,5100,7.023201,25205.75,2543,10.13482742,7.841099765,0.95
billing and posting clerks ,259,,Office and administrative support,5110,7.0989995,25780.95,5798,10.15739113,8.665268309,0.96
"bookkeeping, accounting, and auditing clerks",260,,Office and administrative support,5120,7.058901,25381.16,18217,10.14176245,9.810110503,0.98
gaming cage workers,261,,Office and administrative support,5130,6.519737,18902.63,152,9.847056345,5.023880521,0.39
payroll and timekeeping clerks,262,,Office and administrative support,5140,7.169267,29522.03,2115,10.29289204,7.656810091,0.97
procurement clerks,263,,Office and administrative support,5150,7.5433674,41437.5,392,10.63194155,5.97126184,0.98
tellers,264,,Office and administrative support,5160,7.0477843,16794,5190,9.728776959,8.554488976,0.98
brokerage clerks,265,,Office and administrative support,5200,7.7674417,36562.4,129,10.50677567,4.859812404,0.98
correspondence clerks and order clerks,266,,Office and administrative support,5350,6.778752,20437.09,1939,9.925106666,7.569927655,0.92
"court, municipal, and license clerks",267,,Office and administrative support,5220,7.2797565,28511.78,1151,10.25807261,7.048386409,0.46
"credit authorizers, checkers, and clerks",268,,Office and administrative support,5230,7.3384852,36295.78,647,10.49945676,6.472346295,0.97
customer service representatives,269,,Office and administrative support,5240,7.125244,22897.73,27131,10.03879306,10.20843226,0.55
"eligibility interviewers, government programs",270,,Office and administrative support,5250,8.097503,35938.88,841,10.489575,6.73459166,0.7
file clerks,271,,Office and administrative support,5260,6.960863,17380.12,5468,9.763082303,8.606668198,0.97
"hotel, motel, and resort desk clerks",272,,Office and administrative support,5300,6.953693,13152.95,1706,9.484401347,7.441906728,0.94
"interviewers, except eligibility and loan",273,,Office and administrative support,5310,7.6819825,13508.15,3591,9.511048486,8.186185994,0.94
"library assistants, clerical",274,,Office and administrative support,5320,7.7924414,12903.52,1667,9.465255421,7.418780883,0.95
loan interviewers and clerks,275,,Office and administrative support,5330,7.320442,29400.77,1448,10.28877614,7.277938573,0.92
new accounts clerks,276,,Office and administrative support,5340,7.104762,28548.05,210,10.25934391,5.347107531,0.99
"human resources assistants, except payroll and timekeeping",277,,Office and administrative support,5360,7.608021,29993.38,773,10.30873197,6.650279049,0.9
receptionists and information clerks,278,,Office and administrative support,5400,6.9092116,15400.5,15839,9.642155255,9.670230532,0.96
reservation and transportation ticket agents and travel clerks,279,,Office and administrative support,5410,7.4212737,28314.4,1429,10.25112579,7.264730178,0.61
cargo and freight agents,280,,Office and administrative support,5500,6.9540815,30367.5,196,10.32112824,5.278114659,0.99
couriers and messengers,281,,Office and administrative support,5510,6.7157636,23544.83,3673,10.06666154,8.208764046,0.94
dispatchers,282,,Office and administrative support,5520,6.8566036,29953.1,3180,10.3073881,8.064636476,0.725
"meter readers, utilities",283,,Office and administrative support,5530,6.7286997,32450.45,446,10.38746959,6.100318952,0.85
postal service clerks,284,,Office and administrative support,5540,7.054525,37450.01,1779,10.53076226,7.483806688,0.95
postal service mail carriers,285,,Office and administrative support,5550,6.9462757,39832.64,4095,10.59244196,8.317521996,0.68
"postal service mail sorters, processors, and processing machine operators",286,,Office and administrative support,5560,6.9656487,36395.41,1048,10.50219795,6.954638865,0.79
"production, planning, and expediting clerks",287,,Office and administrative support,5600,7.6350346,38038.59,3488,10.54635645,8.157083785,0.88
"shipping, receiving, and traffic clerks",288,,Office and administrative support,5610,6.2797794,22120.45,6884,10.0042578,8.836955157,0.98
stock clerks and order fillers,289,,Office and administrative support,5620,6.2278895,15230.08,19606,9.631027699,9.883590921,0.64
"weighers, measurers, checkers, and samplers, recordkeeping",290,,Office and administrative support,5630,6.473175,23592.83,1137,10.06869813,7.036148494,0.95
secretaries and administrative assistants,291,,Office and administrative support,5700,7.1973944,24288.7,50427,10.0977665,10.82828202,0.9025
computer operators,292,,Office and administrative support,5800,7.3772283,31317,1739,10.35191636,7.461065514,0.78
data entry keyers,293,,Office and administrative support,5810,7.14557,19937.77,5372,9.900371202,8.588955558,0.99
word processors and typists,294,,Office and administrative support,5820,7.1102014,19254.28,4764,9.865488653,8.46884293,0.81
"miscellaneous office and administrative support workers, including desktop publishers",295,,Office and administrative support,5940,7.731772,27870.43,6405,10.23532155,8.764834214,0.16
insurance claims and policy processing clerks,296,,Office and administrative support,5840,7.3499265,29183.27,3395,10.28135088,8.13005904,0.98
"mail clerks and mail machine operators, except postal service",297,,Office and administrative support,5850,6.570318,17751.36,1415,9.784217412,7.25488481,0.94
"office clerks, general",298,,Office and administrative support,5860,7.117504,21376.96,16042,9.970068986,9.682965562,0.96
"office machine operators, except computer",299,,Office and administrative support,5900,6.673145,18487.01,566,9.824823602,6.338594078,0.92
proofreaders and copy markers,300,,Office and administrative support,5910,8.430851,16933.94,188,9.737075171,5.236441963,0.84
statistical assistants,301,,Office and administrative support,5920,7.773134,30331.4,335,10.31993876,5.814130532,0.66
"first-line supervisors of farming, fishing, and forestry workers",302,,"Farming, fishing and forestry",6005,6.1312337,29957.23,762,10.30752598,6.635946556,0.57
agricultural inspectors,303,,"Farming, fishing and forestry",6010,7.308642,35318.52,243,10.47216275,5.493061443,0.94
"miscellaneous agricultural workers, including animal breeders",304,,"Farming, fishing and forestry",6050,4.668162,14015.09,12039,9.547889885,9.395906659,0
"graders and sorters, agricultural products",305,,"Farming, fishing and forestry",6040,4.36444,11815.74,1018,9.37718782,6.925595197,0.41
fishing and hunting workers,306,,"Farming, fishing and forestry",6100,5.7198796,11307.31,664,9.333204698,6.498282149,0.83
forest and conservation workers,307,,"Farming, fishing and forestry",6120,6.216301,16973.17,319,9.739389141,5.765191103,0.87
logging workers,308,,"Farming, fishing and forestry",6130,5.35042,15100.19,1190,9.622462606,7.081708586,0.84
first-line supervisors of construction trades and extraction workers,309,,Construction and extraction,6200,6.4337316,40983.28,10963,10.62091946,9.302281246,0.17
boilermakers,310,,Construction and extraction,6210,6.179487,42163.14,312,10.64930166,5.743003188,0.68
"brickmasons, blockmasons, stonemasons, and reinforcing iron and rebar workers",311,,Construction and extraction,6220,5.394801,17920.18,2039,9.793682731,7.620214771,0.87
carpenters,312,,Construction and extraction,6230,5.9181347,17268.04,16234,9.756612673,9.694863087,0.72
"carpet, floor, and tile installers and finishers",313,,Construction and extraction,6240,5.4602947,14349.76,2103,9.571488496,7.651120176,0.82
"cement masons, concrete finishers, and terrazzo workers",314,,Construction and extraction,6250,5.265353,17840.94,863,9.789251095,6.760414691,0.91
construction laborers,315,,Construction and extraction,6260,5.541393,17359.57,20547,9.761899218,9.930470224,0.88
"paving, surfacing, and tamping equipment operators",316,,Construction and extraction,6300,5.3022223,25537.42,225,10.14790011,5.416100402,0.83
"construction equipment operators except paving, surfacing, and tamping equipment operators",317,,Construction and extraction,6320,5.806445,30145.07,4903,10.31377667,8.497602542,0.885
"drywall installers, ceiling tile installers, and tapers",318,,Construction and extraction,6330,5.050788,14242.97,1713,9.564018731,7.446001498,0.705
electricians,319,,Construction and extraction,6355,6.5707808,35130.81,9042,10.4668338,9.109635668,0.15
glaziers,320,,Construction and extraction,6360,5.810379,29529.92,501,10.29315927,6.216606101,0.73
insulation workers,321,,Construction and extraction,6400,5.3656564,24536.89,495,10.10793298,6.204557763,0.735
painters and paperhangers,322,,Construction and extraction,6420,5.610199,13251.95,6883,9.49189999,8.836809882,0.81
"pipelayers, plumbers, pipefitters, and steamfitters",323,,Construction and extraction,6440,6.052462,30580.84,6214,10.32812895,8.73456009,0.485
plasterers and stucco masons,324,,Construction and extraction,6460,4.7218046,16584.04,399,9.716196066,5.988961417,0.84
roofers,325,,Construction and extraction,6515,5.078937,15601.94,2559,9.655150544,7.847371836,0.9
sheet metal workers,326,,Construction and extraction,6520,6.090966,30424.39,1594,10.32299987,7.374001859,0.82
structural iron and steel workers,327,,Construction and extraction,6530,6.0131106,29147.07,839,10.28010967,6.732210706,0.83
"miscellaneous construction workers, including solar photovoltaic installers, septic tank servicers and sewer pipe cleaners",328,,Construction and extraction,6765,5.8372483,22125.67,596,10.00449375,6.390240667,0.83
"helpers, construction trades",329,,Construction and extraction,6600,5.273872,13936.46,953,9.542263707,6.859614904,0.786666667
construction and building inspectors,330,,Construction and extraction,6660,7.4616575,36312.7,1291,10.49992282,7.163172391,0.63
elevator installers and repairers,331,,Construction and extraction,6700,6.5903225,62789.68,310,11.04754601,5.736572297,0.39
fence erectors,332,,Construction and extraction,6710,5.275568,14349.18,352,9.571448077,5.863631176,0.92
hazardous materials removal workers,333,,Construction and extraction,6720,6.187204,26624.6,422,10.18959088,6.045005314,0.53
highway maintenance workers,334,,Construction and extraction,6730,6.0326295,28628.45,1563,10.26215626,7.35436233,0.87
rail-track laying and maintenance equipment operators,335,,Construction and extraction,6740,6.044025,39567.3,159,10.5857583,5.068904202,0.89
"derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining",336,,Construction and extraction,6800,5.6356277,42293.28,494,10.65238349,6.202535517,0.735
"earth drillers, except oil and gas",337,,Construction and extraction,6820,5.838806,37878.51,335,10.54213921,5.814130532,0.85
"explosives workers, ordnance handling experts, and blasters",338,,Construction and extraction,6830,6.550898,35834.73,167,10.48667281,5.117993812,0.48
mining machine operators,339,,Construction and extraction,6840,6.0713406,45642.31,813,10.72859042,6.70073111,0.565
"miscellaneous extraction workers, including roof bolters and helpers",340,,Construction and extraction,6940,5.745782,35805.26,889,10.48585009,6.790097236,0.606666667
"first-line supervisors of mechanics, installers, and repairers",341,,"Installation, maintenance and repair",7000,6.883188,49296.26,3664,10.8056035,8.206310726,0.003
"computer, automated teller, and office machine repairers",342,,"Installation, maintenance and repair",7010,7.517556,32518.93,2848,10.38957766,7.954372273,0.74
radio and telecommunications equipment installers and repairers,343,,"Installation, maintenance and repair",7020,6.996084,40810.43,2043,10.61669297,7.622174595,0.645
avionics technicians,344,,"Installation, maintenance and repair",7030,7.037657,47582.43,239,10.77021885,5.476463552,0.7
"electric motor, power tool, and related repairers",345,,"Installation, maintenance and repair",7040,6.5549874,31910.28,391,10.37068349,5.96870756,0.76
"electrical and electronics repairers, transportation equipment, and industrial and utility",346,,"Installation, maintenance and repair",7100,6.96337,44432.23,273,10.70172039,5.609471795,0.566666667
"electronic equipment installers and repairers, motor vehicles",347,,"Installation, maintenance and repair",7110,6.5549135,28875.14,173,10.2707363,5.153291595,0.61
electronic home entertainment equipment installers and repairers,348,,"Installation, maintenance and repair",7120,6.6246457,25023.37,706,10.12756547,6.559615237,0.65
security and fire alarm systems installers,349,,"Installation, maintenance and repair",7130,6.6991453,35026.1,585,10.46384878,6.371611847,0.82
aircraft mechanics and service technicians,350,,"Installation, maintenance and repair",7140,6.979506,43837.26,1903,10.68823942,7.551186867,0.71
automotive body and related repairers,351,,"Installation, maintenance and repair",7150,5.770745,25396.76,1880,10.14237689,7.539027056,0.91
automotive glass installers and repairers,352,,"Installation, maintenance and repair",7160,6.03271,20914.95,214,9.948219493,5.365976015,0.55
automotive service technicians and mechanics,353,,"Installation, maintenance and repair",7200,6.061156,25738.7,9484,10.15575097,9.157361447,0.59
bus and truck mechanics and diesel engine specialists,354,,"Installation, maintenance and repair",7210,6.1262817,33626.23,3413,10.4230617,8.135346949,0.73
heavy vehicle and mobile equipment service technicians and mechanics,355,,"Installation, maintenance and repair",7220,6.182195,37783.13,2651,10.53961799,7.882692206,0.676666667
small engine mechanics,356,,"Installation, maintenance and repair",7240,6.0504885,20180.15,614,9.912454727,6.419994928,0.793333333
"miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",357,,"Installation, maintenance and repair",7260,5.8062363,17845.94,898,9.78953131,6.800170068,0.743333333
control and valve installers and repairers,358,,"Installation, maintenance and repair",7300,6.4117646,37369.41,255,10.52860773,5.541263545,0.77
